temperature,speed wind,humidity,Visibility,pressure,date
18.47,5.94,57,13.65,1020,12/17/2021
17.77,6.84,50,12.49,1019.5,12/18/2021
17.41,10.73,46,13.56,1016.5,12/19/2021
